description,clean,noised
accuracy_parse,0.9494163424124513,0.7898832684824902
accuracy_full,0.9027237354085603,0.311284046692607
title_accuracy_parse,,
fn_accuracy_parse,0.9883268482490273,0.8988326848249028
mn_accuracy_parse,0.9393939393939394,0.8383838383838383
ln_accuracy_parse,0.9571984435797666,0.8326848249027238
suffix_accuracy_parse,0.8333333333333334,0.8333333333333334
title_accuracy_full,,
fn_accuracy_full,0.9688715953307393,0.6964980544747081
mn_accuracy_full,0.9191919191919192,0.6262626262626263
ln_accuracy_full,0.933852140077821,0.6186770428015564
suffix_accuracy_full,0.8333333333333334,0.6666666666666666
title_avg_dist_parse,,
fn_avg_dist_parse,0.06614785992217899,0.5019455252918288
mn_avg_dist_parse,0.18181818181818182,0.6666666666666666
ln_avg_dist_parse,0.1556420233463035,0.6147859922178989
suffix_avg_dist_parse,0.16666666666666666,0.16666666666666666
title_avg_dist_full,,
fn_avg_dist_full,0.08949416342412451,0.7315175097276264
mn_avg_dist_full,0.23232323232323232,0.9494949494949495
ln_avg_dist_full,0.19844357976653695,0.867704280155642
suffix_avg_dist_full,0.16666666666666666,0.3333333333333333
